,link,brand,product,price,Ram (Sistem Belleği),ssd_capacity,graphics_card,processor_type,operating_system,screen_size,screen_resolution,Kullanım Amacı,Cihaz Ağırlığı,Ekran Yenileme Hızı,Ekran Kartı Tipi,graphics_memory,İşlemci Modeli,processor_generation,İşlemci Çekirdek Sayısı,Hard Disk Kapasitesi,touchscreen,Panel Tipi,Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,color,warranty_type,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Bağlantılar,keyboard,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,warranty_period,Suya/Toza Dayanıklılık,Hızlı Şarj,fingerprint_reader,Şarjlı Kullanım Süresi,Optik Sürücü Tipi,country_of_origin,Kapasite,İşlemci Frekansı,Power Supply,hdmi,Beden,Tamir Edilebilirlik,CE Uygunluk Sembolu,İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı,Üretici Bilgisi,Ekran Kartı Gücü,Piksel Yoğunluğu,ssd,os,processor,gpu,screensize,resolution,gpumemory,cpugen,warranty,warrantyperiod,origin,fingerprint,Paket Görseli (arka),Sıvı Soğutma,Soket Tipi
0,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-n100-4gb-ram-128gb-ssd-15-6-w11-laptop-82xb009htx-p-880830432,"LENOVO IdeaPad Slim 3/ IntelN100/ 4GB Ram/ 128GB SSD/ 15.6""/ W11/ Laptop 82XB009HTX",IdeaPad Slim 3/ Intel,9.175 TL,4 GB,128 GB,Intel UHD Graphics,Intel Alder Lake N100,Belirtilmemiş,"15,6 inç",1920 x 1080,Ev - Okul,2 - 4 kg,Belirtilmemiş,Dahili,Paylaşımlı,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Yok,TN,Belirtilmemiş,128 GB,Siyah,Lenovo Türkiye Garantili,3.2,3.2,Bluetooth,Q Türkçe,Belirtilmemiş,Full HD (FHD),2 Yıl,Yok,Yok,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.trendyol.com/hp/255-g9-ryzen-5-5625u-16gb-ram-512gb-ssd-15-6-fhd-w11pro-723q2ea-per4-canta-p-820086793,HP 255 G9 RYZEN 5 5625U 16GBRAM 512GB SSD 15.6'' FHD W11PRO 723Q2EA & PER4 ÇANTA,255 G9 RYZEN 5 5625U 16GB,16.500 TL,16 GB,512 GB,AMD Radeon Graphics,AMD Ryzen 5,Windows,"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,5625U,5. Nesil,6,HDD Yok,Yok,TN,DDR4,64 GB,Gri,HP Türkiye Garantili,2.3,4.3,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),Dahili,Full HD (FHD),2 Yıl,Yok,Yok,Yok,3 Saat ve Altı,Yok,US,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.trendyol.com/acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934,"ACER Aspire3 IntelCeleron-N4500 4GB 128GB SSD DOS 15.6"" Gümüş Dizüstü Bilgisayar(Acer Türkiye Garantili)",Aspire3 Intel,7.499 TL,4 GB,128 GB,Intel UHD Graphics,Intel Celeron,Linux,"15,6 inç",1920 x 1080,Ev - Okul,2 kg ve altı,60 Hz,Harici,Paylaşımlı,N4200,4. Nesil,2,HDD Yok,Yok,IPS,DDR4,128 GB,Gümüş,ACER Türkiye Garantili,1.2,1.2,HDMI,Q Türkçe,DDR4,Full HD (FHD),2 Yıl,Yok,Yok,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.trendyol.com/zeiron/tx90-i5-3470-16gb-256gb-ssd-500gb-hdd-gt740-23-8-curved-oyuncu-masaustu-bilgisayari-p-329480930,"Zeiron Tx90 i5-3470 16GB256GB SSD+500GB HDD GT740 23.8"" Curved Oyuncu Masaüstü Bilgisayarı",Tx90 i5-3470 16GB,13.180 TL,16 GB,256 GB,Nvidia Geforce GT 740,Intel Core i5,Free Dos (İşletim Sistemi Yok),"24"" / 61 Ekran",1920 x 1080,,2 - 4 kg,75 Hz,Harici,4 GB ve altı,,,4,500 GB,,TN,DDR3,16 GB,,Zeiron Türkiye Garantili,3.2,,Wi-Fi,RGB,DDR3,Full HD (FHD),2 Yıl,,,,,Yok,,500 GB,3.00 GHz üstü,350 - 500 W,Var,Tek Ebat,,,,,,,,,,,,,,,,,,,,,
4,https://www.trendyol.com/casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-laptop-p-358003688,"CASPER NirvanaC370.4020-4C00B Intel Celeron N4020 4GB RAM 120GB SSD Windows 11 Home 15.6"" Hd Laptop",Nirvana,9.498 TL,,,Intel UHD Graphics 600,Intel Celeron,Windows,"15,6 inç",1366 x 768,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,N4020,Belirtilmemiş,2,HDD Yok,Yok,TN,LPDDR4,,Gri,Casper Türkiye Garantili,1.1,2.8,Bluetooth,Q Türkçe,Belirtilmemiş,HD Ready (HD),2 Yıl,Yok,Yok,Yok,4-6 Saat,Yok,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.trendyol.com/lenovo/ideapad-slim3-intel-celeron-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-win11-gri-laptop-p-880174765,"LENOVO Ideapad Slim3 IntelCeleron-N100 4GB RAM 128GB SSD Intel UHD Graphics 15.6"" FHD Win11 Gri Laptop",Ideapad Slim3 Intel,8.859 TL,4 GB,128 GB,Intel UHD Graphics,Intel Celeron,Belirtilmemiş,"15,6 inç",1920 x 1080,Ev - Okul,2 - 4 kg,Belirtilmemiş,Dahili,Paylaşımlı,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Yok,,Belirtilmemiş,,Gri,Lenovo Türkiye Garantili,3,,Bluetooth,Q Türkçe,Belirtilmemiş,Full HD (FHD),2 Yıl,Yok,Yok,Yok,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.trendyol.com/apple/macbook-air-m2-16gb-256gb-ssd-macos-13-tasinabilir-bilgisayar-gece-yarisi-mc7x4tu-a-p-871069136,"Apple Macbook Air M2 16gb256gb Ssd Macos 13"" Taşınabilir Bilgisayar Gece Yarısı Mc7x4tu/a",Macbook Air M2 16gb,34.549 TL,16 GB,256 GB,M2 8 Çekirdekli,Apple M2,Mac Os,"13,6 inç",2560 x 1600,Ofis - İş,2 kg ve altı,120 Hz,Dahili,8 GB,Belirtilmemiş,2. Nesil,8,HDD Yok,Yok,,Birleşik Bellek,,Gri,Apple Türkiye Garantili,3.3,,Mini HDMI,Q Türkçe (Aydınlatmalı),Dahili,Ultra HD 4K (UHD),2 Yıl,Yok,Yok,Yok,,Yok,VN,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.trendyol.com/zeiron/damage-x20-ryzen-7-5700x-32gb-1tb-m-2-nvme-ssd-rtx3050-27-240hz-oyuncu-masaustu-bilgisayar-p-859921678,"Zeiron Damage X20 Ryzen 75700X 32GB 1TB M.2 Nvme SSD Rtx3050 27"" 240Hz Oyuncu Masaüstü Bilgisayar",Damage X20 Ryzen 7,32.753 TL,32 GB,1 TB,Nvidia GeForce RTX 3050,AMD Ryzen 7,Free Dos (İşletim Sistemi Yok),25 + inç,1920 x 1080,,4 kg ve üzeri,240 Hz,Harici,8 GB,,,8,HDD Yok,,VA,DDR4,64 GB,,Zeiron Türkiye Garantili,3.4,,Display Port,Yok,GDDR6,Full HD (FHD),2 Yıl,,,,,Yok,,1 TB,3.00 GHz üstü,500 W ve üstü,Var,,,,,,,,,,,,,,,,,,,,,,
8,https://www.trendyol.com/hp/14-ep0014nt-intel-core-i3-n305-8gb-512gb-ssd-dos-14-fhd-gece-mavisi-laptop-hp-turkiye-garantili-p-712241023,"HP 14-EP0014NT Intel Corei3-N305 8GB 512GB SSD DOS 14"" FHD  Gece Mavisi Laptop (HP Türkiye Garantili)",14-EP0014NT Intel Core,10.649 TL,8 GB,512 GB,Dahili Ekran Kartı,Intel Core i3,Free Dos (İşletim Sistemi Yok),14 inç,1920 x 1080,Ev - Okul,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,N305,13. Nesil,8,HDD Yok,Yok,,DDR4,,Lacivert,HP Türkiye Garantili,,3.8,USB - Bluetooth - HDMI,Q Türkçe (Aydınlatmasız),Dahili,Full HD (FHD),2 Yıl,Yok,Yok,Yok,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.trendyol.com/hp/15-fc0000nt-amd-ryzen-5-7520u-8-gb-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-7p6b0ea-p-761481836,"HP 15-fc0000nt Amd Ryzen 57520u 8 Gb 512 Gb Ssd Freedos 15.6"" Fhd Taşınabilir Bilgisayar 7P6B0EA",15-fc0000nt Amd Ryzen 5,13.699 TL,8 GB,512 GB,Dahili Ekran Kartı,AMD Ryzen 5,Free Dos (İşletim Sistemi Yok),"15,6 inç",1920 x 1080,Ofis - İş,2 kg ve altı,60 Hz,Dahili,Paylaşımlı,7520U,7. Nesil,4,HDD Yok,Yok,IPS,LPDDR5,8 GB,Siyah,HP Türkiye Garantili,2,4.3,USB - Bluetooth - HDMI,Q Türkçe + Numerik (Aydınlatmasız),Dahili,Full HD (FHD),2 Yıl,,,,6 Saat ve Üstü,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,
