,link,brand,product,price,cosmetic_condition,internal_storage,battery_power_mah,warranty_period,warranty_type,color,main_camera_resolution_range,screen_size,ram_capacity,mobile_connection_speed,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,charging_port,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,artificial_intelligence,phone_model,video_recording_resolution,country_of_origin,radio,cpu_range,video_call,repairability,ce_compliance,importer_representative,manufacturer_info
0,https://www.trendyol.com/apple/yenilenmis-iphone-13-kirmizi-128-gb-12-ay-garantili-a-grade-p-773206964,Apple Yenilenmiş Iphone 13Kırmızı 128 Gb (12 AY GARANTİLİ) A Grade,Yenilenmiş Iphone 13,32.999 TL,A seviye-Mükemmel,128 GB,3000 - 4000,1 Yıl,İthalatçı Garantili,Gri,10 - 15 MP,6 inç ve üstü,6 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,,Yok,,,İthalatçı Garantili,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.trendyol.com/hiking/a40-4gb-ram-128gb-hafiza-6-52-mor-akilli-telefon-turkiye-garantili-p-754871968,"Hikıng A40 4gb Ram, 128gbHafıza, 6.52"" Mor Akıllı Telefon (TÜRKİYE GARANTİLİ)","A40 4gb Ram, 128gb",4.999 TL,,128 GB,5000,2 Yıl,Resmi Distribütör Garantili,Mor,20 - 40 MP,6 - 8 inç,6 GB,4G,5 MP ve altı,1,HD+,FHD+,8 MP ve üstü,5 - 10 MP,LCD,Var,Var,LCD,3,6.5'' - 7'',Android,Var,Yok,Yok,Var,USB Type-C,Yok,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Yok,Yok,Yok,,,,,,,,,,
3,https://www.trendyol.com/alcatel/3-16-gb-mavi-cep-telefonu-2-yil-turkiye-garantili-p-32375140,Alcatel 3 16 Gb Mavi CepTelefonu (2 Yıl  Türkiye Garantili),,4.499 TL,,16 GB,3000 - 4000,2 Yıl,Resmi Distribütör Garantili,Beyaz,10 - 15 MP,"5,5 - 6 inç",2 GB,4.5G,10 - 15 MP,1,HD+,HD+,5 - 8 MP,5 MP ve altı,LCD,Var,Yok,LCD,1,5'' - 5.5'',Android,Yok,Yok,Yok,Var,Micro-USB,Var,60 Hz,3.5 mm,10-20 W,Var,2000-3000 mAh,Var,Yok,,Alcatel 3,1080p (Full HD),,,,,,,,
4,https://www.trendyol.com/apple/yenilenmis-iphone-13-mini-512-gb-yildiz-isigi-cep-telefonu-12-ay-garantili-a-kalite-p-892546331,Apple Yenilenmiş iPhone 13Mini 512 GB Yıldız Işığı Cep Telefonu (12 Ay Garantili) - A Kalite,,31.249 TL,A seviye-Mükemmel,512 GB,,,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.trendyol.com/apple/yenilenmis-iphone-14-plus-512-gb-mavi-cep-telefonu-12-ay-garantili-a-kalite-p-892546173,Apple Yenilenmiş iPhone 14Plus 512 GB Mavi Cep Telefonu (12 Ay Garantili) - A Kalite,,51.999 TL,A seviye-Mükemmel,512 GB,,,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.trendyol.com/apple/yenilenmis-14-512-gb-kirmizi-cep-telefonu-12-ay-garantili-b-kalite-p-892541902,Apple Yenilenmiş 14 512 gbKırmızı Cep Telefonu (12 Ay Garantili) - B Kalite,,49.949 TL,B seviye-Çok İyi,512 GB,,,,Kırmızı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.trendyol.com/apple/yenilenmis-15-pro-256gb-naturel-titanyum-cep-telefonu-12-ay-garantili-a-kalite-p-888773169,Apple YENİLENMİŞ  15 PRO256GB NATUREL TİTANYUM CEP TELEFONU (12 AY GARANTİLİ) - A KALİTE,,71.999 TL,A seviye-Mükemmel,256 GB,,1 Yıl,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.trendyol.com/apple/yenilenmis-iphone-15-plus-128-gb-pembe-cep-telefonu-12-ay-garantili-c-kalite-p-885882072,Apple Yenilenmiş iPhone 15Plus 128 GB Pembe Cep Telefonu (12 Ay Garantili) - C Kalite,,55.899 TL,C seviye-İyi,128 GB,,,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.trendyol.com/apple/iphone-13-red-128gb-yenilenmis-b-kalite-12-ay-garantili-p-882280158,Apple iPhone 13 Red 128GBYenilenmiş B Kalite (12 Ay Garantili),,28.999 TL,B seviye-Çok İyi,128 GB,,,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
