,link,brand,product,price,warranty_type,internal_storage,ram_capacity,screen_size,battery_power_mah,mobile_connection_speed,front_camera_resolution,camera_resolution,front_camera_count,screen_resolution,screen_technology,front_camera_resolution_range,display_technology,main_camera_flash,front_camera_flash,screen_type,rear_camera_count,screen_size_range,operating_system,dual_sim,wireless_charging,face_recognition,touchscreen,warranty_period,charging_port,main_camera_resolution_range,nfc,screen_refresh_rate,headphone_jack,charging_speed,expandable_storage,battery_capacity_range,fingerprint_reader,water_dust_resistance,color,artificial_intelligence,video_recording_resolution,country_of_origin,phone_model,cosmetic_condition,radio,cpu_range,video_call,manufacturer_info,repairability,ce_compliance,importer_representative
0,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-836127382,Xiaomi Redmi 13 8 GB RAM 256GB Siyah Cep Telefonu (Xiaomi Türkiye Garantili),Redmi 13 8 GB RAM 256,8.399 TL,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,5 inç",5000 ve üstü,4.5G,13 MP,108 MP + 2 MP + 2MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,90 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Var,Siyah,Yok,,,,,,,,,,,
1,https://www.trendyol.com/xiaomi/redmi-14c-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-869864073,Xiaomi Redmi 14C 8 GB RAM 256GB Siyah (Xiaomi Türkiye Garantili),Redmi 14C 8 GB RAM 256,7.899 TL,Resmi Distribütör Garantili,256 GB,8 GB,6 - 8 inç,5160,4.5G,13 MP,50 MP +12 MP +10 MP,1,,,10 - 15 MP,3LCD,Var,Var,,2,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,120 Hz,USB Type-C,10-20 W,,4500-5000 mAh,Var,Yok,Siyah,,1080p (Full HD),TR,,,,,,,,,
2,https://www.trendyol.com/samsung/galaxy-a06-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-857140579,Samsung Galaxy A06 128GBSiyah Cep Telefonu (Samsung Türkiye Garantili),Galaxy A06 128GB,6.259 TL,Resmi Distribütör Garantili,128 GB,4 GB,6 - 8 inç,4000 - 5000,4G,8 MP,50 MP,1,FHD+,,5 - 10 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Var,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Siyah,,,,,,,,,,,,
3,https://www.trendyol.com/fitgo/tuslu-cep-telefonu-yasli-hizli-arama-p-831846662,FİTGO Tuşlu Cep TelefonuYaşlı Hızlı Arama,Tuşlu Cep Telefonu,1.199 TL,İthalatçı Garantili,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beyaz,,,,,,,,,,,,
4,https://www.trendyol.com/reeder/s19-max-pro-256-gb-6-gb-ram-siyah-cep-telefonu-reeder-turkiye-garantili-p-335141517,Reeder S19 Max Pro 256 GB 6GB RAM Siyah Cep Telefonu (Reeder Türkiye Garantili),S19 Max Pro 256 GB 6,4.860 TL,Resmi Distribütör Garantili,256 GB,6 GB,"6,7 inç",5000,4.5G,16 MP,48 MP + 2 MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Yok,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,60 Hz,3.5 mm,60-80 W,Var,4500-5000 mAh,Yok,Yok,Siyah,Yok,2160p (Ultra HD) 4K,,Reeder S19 Max Pro,,,,,,,,
5,https://www.trendyol.com/samsung/galaxy-a06-128gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-857140581,Samsung Galaxy A06 128GB MaviCep Telefonu (Samsung Türkiye Garantili),Galaxy A06 128GB Mavi,6.319 TL,Resmi Distribütör Garantili,128 GB,4 GB,6 - 8 inç,4000 - 5000,4G,8 MP,50 MP,1,FHD+,,5 - 10 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Var,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Mavi,,,,,,,,,,,,
6,https://www.trendyol.com/samsung/galaxy-note-20-256gb-gri-yenilenmis-cok-iyi-p-689221781,Samsung Galaxy Note 20 256gbGri (YENİLENMİŞ - ÇOK IYİ),,,,256 GB,4 GB,6 inç ve üstü,,,,,,,,,,,,,,,,,,,,1 Yıl,,10 - 15 MP,,,,,,,,,Gri,,,,,B seviye-Çok İyi,,,,,,,
7,https://www.trendyol.com/reeder/p13-blue-max-l-2022-64gb-cep-telefonu-reeder-tr-garantili-siyah-p-159037719,Reeder P13 Blue Max L 202264GB Cep Telefonu (Reeder TR Garantili) Siyah,P13 Blue Max L 2022,3.499 TL,Reeder Türkiye Garantili,64 GB,4 GB,"6,2 inç",3800,4.5G,5 - 8 MP,5 MP ve altı,1,FHD+,HD+,5 MP ve altı,LCD,Var,Yok,IPS LCD,1,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Yok,144 Hz,USB Type-C,20-40 W,Var,3500-4000 mAh,Var,Var,Siyah,Yok,1080p (Full HD),,Reeder P13 Blue Max Lite,,,,,,,,
8,https://www.trendyol.com/samsung/galaxy-a55-256-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-816445689,Samsung Galaxy A55 256 GBMavi Cep Telefonu (Samsung Türkiye Garantili),Galaxy A55 256 GB,17.999 TL,Samsung TR Garantili,256 GB,8 GB,"6,6 inç",5000,5G,32 MP,50 MP,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Yok,Super AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,20 - 40 MP,Var,120 Hz,USB Type-C,20-40 W,Var,5000-6000 mAh,Var,Var,Mavi,Yok,1080p (Full HD),TR,Xiomi Redmi Note 12,,,,,,,,
9,https://www.trendyol.com/xiaomi/redmi-note-14-pro-8gb-ram-256gb-rom-siyah-p-891692674,"Xiaomi Redmi Note 14 Pro  8GBRAM 256GB ROM, Siyah",Redmi Note 14 Pro  8GB,16.299 TL,Xiaomi Türkiye Garantili,256 GB,12 GB,"6,67 inç",5000 ve üstü,4G,32 MP,20 MP ve üstü,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,120 Hz,3.5 mm,40-60 W,Var,5000-6000 mAh,Var,Var,Siyah,,1080p (Full HD),CN,,,,,,,,,
10,https://www.trendyol.com/apple/yenilenmis-iphone-11-64-gb-siyah-cep-telefonu-12-ay-garantili-p-689223609,Apple Yenilenmiş iPhone 11 64GB Siyah Cep Telefonu (12 Ay Garantili),Yenilenmiş iPhone 11 64,"13.701,93 TL",Yenilenmiş Ürün (12 Ay Garanti),64 GB,4 GB,"6,8 inç",3110,,,12 MP,,,,,,,,,,,,,,,,2 Yıl,,10 - 15 MP,,,,,,3000-3500 mAh,,,Siyah,,,,,A seviye-Mükemmel,,,,,,,
11,https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024,Apple iPhone 13 128 GB YıldızIşığı Cep Telefonu (Apple Türkiye Garantili),iPhone 13 128 GB Yıldız,34.099 TL,Apple Türkiye Garantili,128 GB,4 GB,"6,1 inç",3095,5G,12 MP,12 MP + 12 MP,1,FHD+,QLED,10 - 15 MP,OLED,,,OLED,2,6'' - 6.5'',iOS,Yok,Var,Var,Var,2 Yıl,Lightning,10 - 15 MP,Var,60 Hz,Lightning,10-20 W,,3000-3500 mAh,Var,Var,Beyaz,Var,1080p (Full HD),,iPhone 13,,Yok,2.5-3.2 GHz,Var,,,,
