,link,brand,product,originalPrice,Garanti Tipi,Dahili Hafıza,RAM Kapasitesi,Ekran Boyutu,Pil Gücü (mAh),Mobil Bağlantı Hızı,Ön Kamera Çözünürlüğü,Kamera Çözünürlüğü,Ön Kamera Sayısı,Ekran Çözünürlüğü,Ekran Teknolojisi,Ön Kamera Çözünürlük Aralığı,Görüntü Teknolojisi,Ana Kamera Flaş,Ön Kamera Flaş,Ekran Cinsi,Arka Kamera Sayısı,Ekran Boyut Aralığı,İşletim Sistemi,Çift Hat,Kablosuz Şarj,Yüz Tanıma,Dokunmatik Ekran,Garanti Süresi,Şarj Girişi,Ana Kamera Çözünürlük Aralığı,NFC,Ekran Yenileme Hızı,Kulaklık Girişi,Şarj Hızı,Arttırılabilir Hafıza (Hafıza Kartı Desteği),Batarya Kapasitesi Aralığı,Parmak İzi Okuyucu,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Video Kayıt Çözünürlüğü,Menşei,Cep Telefonu Modeli,Radio,CPU Aralık,Görüntülü Konuşma,Kozmetik Durum,Tamir Edilebilirlik,CE Uygunluk Sembolu,İthalatçı/ Yetkili Temsilci/ İfa Hizmet Sağlayıcı,Üretici Bilgisi
0,https://www.trendyol.com/xiaomi/redmi-13-8-gb-ram-256-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-836127382,Xiaomi Redmi 13 8 GB RAM 256GB Siyah Cep Telefonu (Xiaomi Türkiye Garantili),Redmi 13 8 GB RAM 256,,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,5 inç",5000 ve üstü,4.5G,13 MP,108 MP + 2 MP + 2MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Var,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,100 -120 MP,Var,90 Hz,3.5 mm,10-20 W,Var,5000-6000 mAh,Var,Var,Siyah,Yok,,,,,,,,,,,
1,https://www.trendyol.com/xiaomi/redmi-14c-8-gb-ram-256-gb-siyah-xiaomi-turkiye-garantili-p-869864073,Xiaomi Redmi 14C 8 GB RAM 256GB Siyah (Xiaomi Türkiye Garantili),Redmi 14C 8 GB RAM 256,,Resmi Distribütör Garantili,256 GB,8 GB,6 - 8 inç,5160,4.5G,13 MP,50 MP +12 MP +10 MP,1,,,10 - 15 MP,3LCD,Var,Var,,2,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,120 Hz,USB Type-C,10-20 W,,4500-5000 mAh,Var,Yok,Siyah,,1080p (Full HD),TR,,,,,,,,,
2,https://www.trendyol.com/samsung/galaxy-a06-128gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-857140579,Samsung Galaxy A06 128GBSiyah Cep Telefonu (Samsung Türkiye Garantili),Galaxy A06 128GB,,Resmi Distribütör Garantili,128 GB,4 GB,6 - 8 inç,4000 - 5000,4G,8 MP,50 MP,1,FHD+,,5 - 10 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Var,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Siyah,,,,,,,,,,,,
3,https://www.trendyol.com/reeder/s19-max-pro-256-gb-6-gb-ram-siyah-cep-telefonu-reeder-turkiye-garantili-p-335141517,Reeder S19 Max Pro 256 GB 6GB RAM Siyah Cep Telefonu (Reeder Türkiye Garantili),S19 Max Pro 256 GB 6,,Resmi Distribütör Garantili,256 GB,6 GB,"6,7 inç",5000,4.5G,16 MP,48 MP + 2 MP,1,FHD+,HD+,10 - 15 MP,LCD,Var,Yok,LCD,2,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,40 - 60 MP,Yok,60 Hz,3.5 mm,60-80 W,Var,4500-5000 mAh,Yok,Yok,Siyah,Yok,2160p (Ultra HD) 4K,,Reeder S19 Max Pro,,,,,,,,
4,https://www.trendyol.com/samsung/galaxy-a06-128gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-857140581,Samsung Galaxy A06 128GB MaviCep Telefonu (Samsung Türkiye Garantili),Galaxy A06 128GB Mavi,,Resmi Distribütör Garantili,128 GB,4 GB,6 - 8 inç,4000 - 5000,4G,8 MP,50 MP,1,FHD+,,5 - 10 MP,AMOLED,Var,,AMOLED,3,6.5'' - 7'',Android,Var,Var,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Var,60 Hz,USB Type-C,10-20 W,Var,4500-5000 mAh,Var,Yok,Mavi,,,,,,,,,,,,
5,https://www.trendyol.com/reeder/p13-blue-max-l-2022-64gb-cep-telefonu-reeder-tr-garantili-siyah-p-159037719,Reeder P13 Blue Max L 202264GB Cep Telefonu (Reeder TR Garantili) Siyah,P13 Blue Max L 2022,,Reeder Türkiye Garantili,64 GB,4 GB,"6,2 inç",3800,4.5G,5 - 8 MP,5 MP ve altı,1,FHD+,HD+,5 MP ve altı,LCD,Var,Yok,IPS LCD,1,6'' - 6.5'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,5 - 10 MP,Yok,144 Hz,USB Type-C,20-40 W,Var,3500-4000 mAh,Var,Var,Siyah,Yok,1080p (Full HD),,Reeder P13 Blue Max Lite,,,,,,,,
6,https://www.trendyol.com/xiaomi/redmi-note-14-pro-8gb-ram-256gb-rom-siyah-p-891692674,"Xiaomi Redmi Note 14 Pro  8GBRAM 256GB ROM, Siyah",Redmi Note 14 Pro  8GB,,Xiaomi Türkiye Garantili,256 GB,12 GB,"6,67 inç",5000 ve üstü,4G,32 MP,20 MP ve üstü,1,FHD+,FHD+,20 - 40 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,120 Hz,3.5 mm,40-60 W,Var,5000-6000 mAh,Var,Var,Siyah,,1080p (Full HD),CN,,,,,,,,,
7,https://www.trendyol.com/apple/iphone-13-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-150059024,Apple iPhone 13 128 GB YıldızIşığı Cep Telefonu (Apple Türkiye Garantili),iPhone 13 128 GB Yıldız,,Apple Türkiye Garantili,128 GB,4 GB,"6,1 inç",3095,5G,12 MP,12 MP + 12 MP,1,FHD+,QLED,10 - 15 MP,OLED,,,OLED,2,6'' - 6.5'',iOS,Yok,Var,Var,Var,2 Yıl,Lightning,10 - 15 MP,Var,60 Hz,Lightning,10-20 W,,3000-3500 mAh,Var,Var,Beyaz,Var,1080p (Full HD),,iPhone 13,Yok,2.5-3.2 GHz,Var,,,,,
8,https://www.trendyol.com/xiaomi/redmi-note-13-pro-8-gb-ram-256-gb-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-797235142,Xiaomi Redmi Note 13 Pro 8 GBRAM 256 GB Siyah Cep Telefonu (Xiaomi Türkiye Garantili),Redmi Note 13 Pro 8 GB,,Xiaomi Türkiye Garantili,256 GB,8 GB,"6,67 inç",5000,4G,16 MP,200 MP + 8 MP + 2 MP,1,FHD+,FHD+,15 - 20 MP,AMOLED,Var,Var,AMOLED,3,6.5'' - 7'',Android,Var,Yok,Var,Var,2 Yıl,USB Type-C,120 MP ve üstü,Var,120 Hz,3.5 mm,60-80 W,Var,5000-6000 mAh,Var,Var,Siyah,Var,1080p (Full HD),AD,Xiomi Redmi Note 12,,,,,,,,
9,https://www.trendyol.com/apple/yenilenmis-iphone-11-64-gb-siyah-cep-telefonu-12-ay-garantili-p-689223609,Apple Yenilenmiş iPhone 11 64GB Siyah Cep Telefonu (12 Ay Garantili),Yenilenmiş iPhone 11 64,,Yenilenmiş Ürün (12 Ay Garanti),64 GB,4 GB,"6,8 inç",3110,,,12 MP,,,,,,,,,,,,,,,,2 Yıl,,10 - 15 MP,,,,,,3000-3500 mAh,,,Siyah,,,,,,,,A seviye-Mükemmel,,,,
